stock_code,stock_name,level1,level2,level3
BK1163,可控核聚变,科技与创新,新兴技术,量子与核能
BK0520,社保重仓,区域与政策,资金概念,机构资金
BK0479,钢铁行业,传统产业,基础工业,钢铁有色
BK0614,食品安全,消费与民生,食品饮料,食品制造
BK1072,中俄贸易概念,区域与政策,政策概念,国家战略
BK0475,银行,金融与地产,金融服务,银行保险
BK1124,毫米波概念,科技与创新,通信与网络,通信技术
BK0696,国产软件,科技与创新,人工智能,AI应用
BK1084,数字哨兵,新兴概念,数字经济,数字技术
BK0500,HS300_,区域与政策,指数概念,主要指数
BK1180,华为海思,科技与创新,半导体与电子,芯片设计制造
BK1166,低空经济,科技与创新,智能制造,工业自动化
BK0891,国产芯片,科技与创新,半导体与电子,芯片设计制造
BK1102,空气能热泵,资源与能源,能源产业,能源设备
BK0999,茅指数,区域与政策,指数概念,特色指数
BK0682,燃料电池,科技与创新,新能源技术,电池技术
BK1192,雅下水电概念,资源与能源,能源产业,新能源
BK0944,肝素概念,消费与民生,医疗健康,医药制造
BK1049,EDR概念,传统产业,制造业,汽车制造
BK0918,特高压,资源与能源,能源产业,能源设备
BK0949,氦气概念,新兴概念,特殊概念,材料概念
BK0676,独家药品,消费与民生,医疗健康,医药制造
BK0938,代糖概念,消费与民生,食品饮料,食品制造
BK1121,第四代半导体,科技与创新,半导体与电子,半导体材料
BK1014,发电机概念,资源与能源,能源产业,能源设备
BK0953,鸿蒙概念,新兴概念,平台经济,互联网平台
BK0886,智慧政务,新兴概念,新兴应用,智能应用
BK0862,超级真菌,消费与民生,医疗健康,医疗服务
BK1184,人形机器人,科技与创新,智能制造,机器人技术
BK1073,啤酒概念,消费与民生,食品饮料,食品制造
BK0914,医废处理,资源与能源,环保产业,循环经济
BK0622,地热能,资源与能源,能源产业,新能源
BK1071,跨境支付,新兴概念,区块链技术,区块链
BK1012,PVDF概念,传统产业,基础工业,化工材料
BK0960,无线充电,科技与创新,通信与网络,通信技术
BK0705,上证380,区域与政策,指数概念,主要指数
BK0998,机器视觉,科技与创新,智能制造,机器人技术
BK0535,QFII重仓,区域与政策,资金概念,机构资金
BK0481,汽车零部件,传统产业,制造业,汽车制造
BK0939,辅助生殖,消费与民生,医疗健康,医疗服务
BK0156,河南板块,区域与政策,地域板块,省份板块
BK0476,装修建材,传统产业,建筑与工程,装修装饰
BK0936,长寿药,消费与民生,食品饮料,食品制造
BK1064,东数西算,科技与创新,人工智能,算力与芯片
BK1174,合成生物,科技与创新,新兴技术,生物技术
BK0985,换电概念,科技与创新,新能源技术,电池技术
BK0884,光刻机(胶),科技与创新,半导体与电子,芯片设计制造
BK0809,AI智能体,科技与创新,人工智能,大模型概念
BK0932,尾气治理,资源与能源,环保产业,环保技术
BK0814,大飞机,传统产业,制造业,机械设备
BK0632,土地流转,金融与地产,房地产,地产概念
BK1126,ChatGPT概念,科技与创新,人工智能,大模型概念
BK0619,3D打印,新兴概念,特殊概念,技术概念
BK0902,MiniLED,科技与创新,半导体与电子,电子元件
BK0519,稀缺资源,资源与能源,矿产资源,金属矿产
BK0548,生物疫苗,消费与民生,医疗健康,医药制造
BK1177,荣耀概念,新兴概念,平台经济,互联网平台
BK1029,汽车整车,传统产业,制造业,汽车制造
BK0922,数据中心,科技与创新,人工智能,算力与芯片
BK1095,钒电池,科技与创新,新能源技术,电池技术
BK0845,百度概念,新兴概念,平台经济,互联网平台
BK1005,专精特新,区域与政策,政策概念,国家战略
BK1025,预制菜概念,消费与民生,食品饮料,食品制造
BK0937,蚂蚁概念,新兴概念,平台经济,互联网平台
BK0873,垃圾分类,资源与能源,环保产业,循环经济
BK0612,上证180_,区域与政策,指数概念,主要指数
BK0887,鸡肉概念,消费与民生,食品饮料,农业食品
BK1155,小米汽车,新兴概念,平台经济,互联网平台
BK0655,网络安全,科技与创新,人工智能,AI应用
BK0899,CRO,消费与民生,医疗健康,医疗服务
BK0927,免税概念,消费与民生,消费服务,零售商业
BK0732,贵金属,资源与能源,矿产资源,金属矿产
BK0724,海绵城市,传统产业,建筑与工程,装修装饰
BK1007,植物照明,新兴概念,特殊概念,材料概念
BK1038,光学光电子,科技与创新,半导体与电子,电子元件
BK0966,碳交易,资源与能源,环保产业,环保技术
BK0427,公用事业,传统产业,制造业,机械设备
BK0859,超清视频,消费与民生,文化娱乐,传媒娱乐
BK0740,教育,消费与民生,文化娱乐,传媒娱乐
BK0498,AB股,区域与政策,资金概念,外资概念
BK1148,BC电池,科技与创新,新能源技术,光伏技术
BK0699,全息技术,新兴概念,特殊概念,技术概念
BK1006,碳基材料,科技与创新,新兴技术,新材料
BK0684,京津冀,区域与政策,政策概念,区域发展
BK0957,拼多多概念,新兴概念,平台经济,互联网平台
BK0736,通信服务,科技与创新,通信与网络,通信技术
BK0843,天然气,资源与能源,能源产业,传统能源
BK0153,广东板块,区域与政策,地域板块,省份板块
BK0955,C2M概念,新兴概念,平台经济,电商概念
BK1106,创新药,消费与民生,医疗健康,医药制造
BK0852,冷链物流,消费与民生,消费服务,生活服务
BK0707,沪股通,区域与政策,资金概念,外资概念
BK0865,电子烟,消费与民生,消费服务,生活服务
BK0883,数字货币,新兴概念,区块链技术,区块链
BK0638,创业成份,区域与政策,指数概念,特色指数
BK0668,医疗器械概念,消费与民生,医疗健康,医疗器械
BK1145,机器人执行器,科技与创新,智能制造,机器人技术
BK0145,上海板块,区域与政策,地域板块,直辖市
BK0547,黄金概念,资源与能源,矿产资源,金属矿产
BK1133,ERP概念,科技与创新,人工智能,AI应用
BK1063,重组蛋白,消费与民生,医疗健康,医药制造
BK0450,航运港口,传统产业,制造业,机械设备
BK0842,富士康,新兴概念,平台经济,互联网平台
BK1077,统一大市场,区域与政策,政策概念,国家战略
BK0680,智能家居,传统产业,制造业,电子制造
BK1170,AI制药（医疗）,科技与创新,人工智能,AI应用
BK0704,无人机,科技与创新,智能制造,工业自动化
BK0807,共享经济,新兴概念,新兴应用,特殊概念
BK0480,航天航空,传统产业,制造业,机械设备
BK0492,煤化工,资源与能源,矿产资源,化工原料
BK0868,GDR,区域与政策,资金概念,外资概念
BK0714,5G概念,科技与创新,通信与网络,通信技术
BK0150,北京板块,区域与政策,地域板块,直辖市
BK0538,化学制品,传统产业,基础工业,化工材料
BK0947,屏下摄像,科技与创新,半导体与电子,电子元件
BK0567,股权激励,区域与政策,政策概念,特殊概念
BK0590,西部大开发,区域与政策,政策概念,区域发展
BK0905,传感器,科技与创新,半导体与电子,电子元件
BK0989,储能,科技与创新,新能源技术,储能技术
BK0994,空间站概念,科技与创新,智能制造,工业自动化
BK1075,电子身份证,新兴概念,数字经济,数字技术
BK0683,央国企改革,区域与政策,政策概念,国家战略
BK1056,幽门螺杆菌概念,消费与民生,医疗健康,医疗服务
BK0601,海工装备,传统产业,制造业,机械设备
BK1050,昨日涨停_含一字,区域与政策,交易概念,交易状态
BK0440,家用轻工,传统产业,制造业,电子制造
BK0147,新疆板块,区域与政策,地域板块,省份板块
BK0839,知识产权,新兴概念,数字经济,数字技术
BK0556,移动支付,新兴概念,区块链技术,区块链
BK1144,高压快充,科技与创新,新能源技术,电池技术
BK1051,昨日连板_含一字,区域与政策,交易概念,交易状态
BK1160,柔性屏(折叠屏),科技与创新,半导体与电子,电子元件
BK1153,多模态AI,科技与创新,人工智能,大模型概念
BK1082,噪声防治,资源与能源,环保产业,环保技术
BK1061,数字经济,新兴概念,数字经济,数字技术
BK0972,快手概念,新兴概念,平台经济,互联网平台
BK1001,内贸流通,消费与民生,消费服务,零售商业
BK0677,粤港自贸,区域与政策,政策概念,区域发展
BK0669,生态农业,消费与民生,食品饮料,农业食品
BK0656,智能电视,传统产业,制造业,电子制造
BK0921,卫星互联网,科技与创新,通信与网络,通信技术
BK1146,减肥药,消费与民生,医疗健康,医药制造
BK0894,阿兹海默,消费与民生,医疗健康,医疗服务
BK0917,半导体概念,科技与创新,半导体与电子,芯片设计制造
BK1018,橡胶制品,传统产业,基础工业,化工材料
BK0718,证金持股,区域与政策,资金概念,机构资金
BK0861,数字孪生,新兴概念,数字经济,数字技术
BK0478,有色金属,传统产业,基础工业,钢铁有色
BK1042,医药商业,消费与民生,医疗健康,医疗服务
BK0743,深证100R,区域与政策,指数概念,主要指数
BK0993,宠物经济,消费与民生,消费服务,生活服务
BK1179,房屋检测,金融与地产,房地产,地产概念
BK0672,沪企改革,区域与政策,政策概念,国家战略
BK0693,基因测序,科技与创新,新兴技术,生物技术
BK0950,草甘膦,消费与民生,食品饮料,农业食品
BK0968,固态电池,科技与创新,新能源技术,电池技术
BK0885,VPN,科技与创新,通信与网络,通信技术
BK0554,物联网,科技与创新,通信与网络,通信技术
BK0421,铁路公路,传统产业,制造业,机械设备
BK0167,山西板块,区域与政策,地域板块,省份板块
BK1194,2025中报预增,区域与政策,交易概念,业绩概念
BK1112,破净股,区域与政策,政策概念,特殊概念
BK1087,超超临界发电,资源与能源,能源产业,能源设备
BK0486,文化传媒,消费与民生,文化娱乐,传媒娱乐
BK0679,超导概念,科技与创新,新兴技术,量子与核能
BK0854,华为概念,新兴概念,平台经济,互联网平台
BK1085,痘病毒防治,消费与民生,医疗健康,医疗服务
BK1028,燃气,资源与能源,能源产业,传统能源
BK1024,绿色电力,资源与能源,能源产业,新能源
BK0162,宁夏板块,区域与政策,地域板块,省份板块
BK0173,贵州板块,区域与政策,地域板块,省份板块
BK0689,阿里概念,新兴概念,平台经济,互联网平台
BK1097,TOPCon电池,科技与创新,新能源技术,光伏技术
BK1195,2025中报预减,区域与政策,交易概念,业绩概念
BK0890,MLCC,科技与创新,半导体与电子,电子元件
BK0739,工程机械,传统产业,制造业,机械设备
BK0637,互联金融,金融与地产,金融服务,银行保险
BK0954,盲盒经济,消费与民生,消费服务,生活服务
BK0662,在线教育,消费与民生,文化娱乐,传媒娱乐
BK0636,B股,区域与政策,资金概念,外资概念
BK0940,网红经济,消费与民生,消费服务,生活服务
BK1045,房地产服务,金融与地产,房地产,地产概念
BK0970,生物识别,科技与创新,人工智能,AI应用
BK1010,磷化工,资源与能源,矿产资源,化工原料
BK0692,旅游概念,消费与民生,文化娱乐,体育旅游
BK1143,空间计算,新兴概念,特殊概念,技术概念
BK0982,电子车牌,科技与创新,半导体与电子,电子元件
BK0898,胎压监测,传统产业,制造业,汽车制造
BK0615,中药概念,消费与民生,医疗健康,医药制造
BK0951,刀片电池,科技与创新,新能源技术,电池技术
BK0910,专用设备,传统产业,制造业,机械设备
BK0834,乡村振兴,区域与政策,政策概念,国家战略
BK0860,边缘计算,科技与创新,人工智能,算力与芯片
BK0882,猪肉概念,消费与民生,食品饮料,农业食品
BK1055,虚拟数字人,科技与创新,人工智能,AI应用
BK0715,航母概念,传统产业,制造业,机械设备
BK0628,智慧城市,新兴概念,新兴应用,智能应用
BK0984,华为汽车,新兴概念,平台经济,互联网平台
BK0490,军工,传统产业,制造业,机械设备
BK0908,HIT电池,科技与创新,新能源技术,光伏技术
BK0913,消毒剂,消费与民生,医疗健康,医疗服务
BK0802,无人驾驶,科技与创新,智能制造,工业自动化
BK1076,建筑节能,传统产业,建筑与工程,装修装饰
BK0996,毛发医疗,消费与民生,医疗健康,医疗器械
BK1046,游戏,消费与民生,文化娱乐,传媒娱乐
BK0690,氟化工,资源与能源,矿产资源,化工原料
BK1013,华为欧拉,新兴概念,平台经济,互联网平台
BK1139,中特估,区域与政策,政策概念,国家战略
BK1183,谷子经济,新兴概念,新兴应用,特殊概念
BK0165,陕西板块,区域与政策,地域板块,省份板块
BK1043,专业服务,传统产业,制造业,机械设备
BK1053,低价股,区域与政策,政策概念,特殊概念
BK1130,时空大数据,新兴概念,数字经济,数字技术
BK1015,能源金属,资源与能源,矿产资源,金属矿产
BK0448,通信设备,科技与创新,通信与网络,通信技术
BK0808,军民融合,传统产业,制造业,机械设备
BK1054,DRG/DIP,消费与民生,医疗健康,医疗服务
BK0721,PPP模式,区域与政策,政策概念,国家战略
BK0155,河北板块,区域与政策,地域板块,省份板块
BK0855,纳米银,科技与创新,新兴技术,新材料
BK0856,工业大麻,传统产业,基础工业,化工材料
BK0964,6G概念,科技与创新,通信与网络,通信技术
BK0175,内蒙古,区域与政策,地域板块,省份板块
BK0482,商业百货,消费与民生,消费服务,零售商业
BK0725,装修装饰,传统产业,建筑与工程,装修装饰
BK0158,湖南板块,区域与政策,地域板块,省份板块
BK0969,汽车芯片,科技与创新,半导体与电子,芯片设计制造
BK0474,保险,金融与地产,金融服务,银行保险
BK0577,核能核电,资源与能源,能源产业,传统能源
BK1156,PEEK材料概念,科技与创新,新兴技术,新材料
BK0174,西藏板块,区域与政策,地域板块,省份板块
BK1158,微盘股,区域与政策,政策概念,特殊概念
BK0734,珠宝首饰,消费与民生,消费服务,零售商业
BK0157,湖北板块,区域与政策,地域板块,省份板块
BK1181,并购重组概念,区域与政策,政策概念,特殊概念
BK1189,腾讯云,新兴概念,平台经济,互联网平台
BK0933,退税商店,消费与民生,消费服务,零售商业
BK0629,北斗导航,科技与创新,通信与网络,通信技术
BK0525,参股银行,金融与地产,金融服务,投资服务
BK0176,海南板块,区域与政策,地域板块,省份板块
BK0945,装配建筑,传统产业,建筑与工程,工程建设
BK0729,船舶制造,传统产业,制造业,机械设备
BK1009,元宇宙概念,新兴概念,区块链技术,区块链
BK0977,碳化硅,科技与创新,半导体与电子,半导体材料
BK1171,碳纤维,科技与创新,新兴技术,新材料
BK1000,宁组合,区域与政策,指数概念,特色指数
BK1173,锂矿概念,资源与能源,矿产资源,金属矿产
BK0806,精准医疗,消费与民生,医疗健康,医疗服务
BK0151,福建板块,区域与政策,地域板块,省份板块
BK0671,彩票概念,消费与民生,消费服务,生活服务
BK0451,房地产开发,金融与地产,房地产,房地产开发
BK0979,低碳冶金,资源与能源,环保产业,环保技术
BK0912,远程办公,消费与民生,医疗健康,医疗服务
BK1103,熔盐储能,科技与创新,新能源技术,储能技术
BK0485,旅游酒店,消费与民生,文化娱乐,体育旅游
BK0710,量子科技,科技与创新,新兴技术,量子与核能
BK0594,长江三角,区域与政策,政策概念,区域发展
BK0811,超级品牌,区域与政策,指数概念,特色指数
BK0925,北交所概念,区域与政策,指数概念,特色指数
BK1030,电机,传统产业,制造业,机械设备
BK0623,海洋经济,传统产业,制造业,机械设备
BK1119,PLC概念,科技与创新,智能制造,工业自动化
BK0906,流感,消费与民生,医疗健康,医疗服务
BK0667,国家安防,科技与创新,人工智能,AI应用
BK1035,美容护理,消费与民生,医疗健康,医疗器械
BK1142,裸眼3D,新兴概念,特殊概念,技术概念
BK1159,Sora概念,科技与创新,人工智能,大模型概念
BK0864,氢能源,资源与能源,能源产业,新能源
BK1066,民爆概念,传统产业,制造业,机械设备
BK1107,科创板做市商,区域与政策,指数概念,特色指数
BK0437,煤炭行业,资源与能源,能源产业,传统能源
BK0988,钠离子电池,科技与创新,新能源技术,电池技术
BK0901,3D摄像头,新兴概念,特殊概念,技术概念
BK0928,抖音小店,新兴概念,平台经济,互联网平台
BK0946,EDA概念,科技与创新,半导体与电子,芯片设计制造
BK1078,肝炎概念,消费与民生,医疗健康,医疗服务
BK0892,乳业,消费与民生,食品饮料,食品制造
BK1113,复合集流体,科技与创新,新能源技术,电池技术
BK1036,半导体,科技与创新,半导体与电子,芯片设计制造
BK0154,广西板块,区域与政策,地域板块,省份板块
BK0805,钛白粉,传统产业,基础工业,化工材料
BK0976,被动元件,科技与创新,半导体与电子,电子元件
BK0539,综合行业,传统产业,制造业,机械设备
BK1164,AIPC,科技与创新,人工智能,AI应用
BK0889,医疗美容,消费与民生,医疗健康,医疗器械
BK0701,中证500,区域与政策,指数概念,主要指数
BK1032,风电设备,资源与能源,能源产业,能源设备
BK0958,虚拟电厂,科技与创新,新能源技术,储能技术
BK1079,户外露营,消费与民生,文化娱乐,体育旅游
BK0438,食品饮料,消费与民生,食品饮料,食品制造
BK0821,MSCI中国,区域与政策,指数概念,主要指数
BK1052,动力电池回收,资源与能源,环保产业,循环经济
BK0983,核污染防治,资源与能源,环保产业,环保技术
BK0606,油气设服,资源与能源,能源产业,传统能源
BK0722,虚拟现实,新兴概念,特殊概念,技术概念
BK0524,参股期货,金融与地产,金融服务,投资服务
BK1074,托育服务,消费与民生,文化娱乐,传媒娱乐
BK0549,深圳特区,区域与政策,政策概念,区域发展
BK1041,医疗器械,消费与民生,医疗健康,医疗器械
BK1109,供销社概念,消费与民生,消费服务,零售商业
BK0738,多元金融,金融与地产,金融服务,银行保险
BK0943,汽车拆解,资源与能源,环保产业,循环经济
BK0815,昨日涨停,区域与政策,交易概念,交易状态
BK0730,农药兽药,消费与民生,食品饮料,农业食品
BK0916,氮化镓,科技与创新,半导体与电子,半导体材料
BK0709,赛马概念,消费与民生,文化娱乐,体育旅游
BK0477,酿酒行业,消费与民生,食品饮料,食品制造
BK1011,环氧丙烷,传统产业,基础工业,化工材料
BK1175,玻璃基板,科技与创新,半导体与电子,电子元件
BK0436,纺织服装,传统产业,制造业,电子制造
BK0975,磁悬浮概念,科技与创新,智能制造,工业自动化
BK0961,有机硅,传统产业,基础工业,化工材料
BK0818,可燃冰,资源与能源,能源产业,传统能源
BK1137,存储芯片,科技与创新,半导体与电子,芯片设计制造
BK1186,首发经济,新兴概念,新兴应用,特殊概念
BK0592,铁路基建,传统产业,建筑与工程,工程建设
BK0552,机构重仓,区域与政策,资金概念,机构资金
BK0700,充电桩,科技与创新,新能源技术,电池技术
BK0536,基金重仓,区域与政策,资金概念,机构资金
BK0603,页岩气,资源与能源,能源产业,传统能源
BK1136,光通信模块,科技与创新,通信与网络,网络设备
BK0674,蓝宝石,科技与创新,半导体与电子,电子元件
BK1100,减速器,科技与创新,智能制造,机器人技术
BK1115,跨境电商,新兴概念,平台经济,电商概念
BK1187,小红书概念,新兴概念,平台经济,互联网平台
BK0992,REITs概念,金融与地产,金融服务,投资服务
BK1132,MLOps概念,科技与创新,人工智能,AI应用
BK0823,养老金,区域与政策,资金概念,机构资金
BK1185,冰雪经济,消费与民生,文化娱乐,体育旅游
BK0909,降解塑料,资源与能源,环保产业,循环经济
BK1020,非金属材料,传统产业,基础工业,化工材料
BK0424,水泥建材,传统产业,基础工业,化工材料
BK0804,深股通,区域与政策,资金概念,外资概念
BK0893,无线耳机,传统产业,制造业,电子制造
BK1118,数据确权,新兴概念,数字经济,数字技术
BK1004,工业母机,科技与创新,智能制造,工业自动化
BK0825,新零售,消费与民生,消费服务,零售商业
BK0897,IPv6,科技与创新,通信与网络,通信技术
BK0920,车联网(车路云),科技与创新,通信与网络,通信技术
BK0644,特斯拉,新兴概念,平台经济,互联网平台
BK0457,电网设备,资源与能源,能源产业,能源设备
BK0853,电子竞技,消费与民生,文化娱乐,传媒娱乐
BK0971,注册制次新股,区域与政策,政策概念,特殊概念
BK0838,东北振兴,区域与政策,政策概念,区域发展
BK0425,工程建设,传统产业,建筑与工程,工程建设
BK0666,苹果概念,新兴概念,平台经济,互联网平台
BK1027,小金属,资源与能源,矿产资源,金属矿产
BK1134,算力概念,科技与创新,人工智能,算力与芯片
BK1008,国资云概念,科技与创新,人工智能,算力与芯片
BK1040,中药,消费与民生,医疗健康,医药制造
BK0727,医疗服务,消费与民生,医疗健康,医疗服务
BK0509,网络游戏,消费与民生,文化娱乐,传媒娱乐
BK0512,化工原料,传统产业,基础工业,化工材料
